timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681927119911,1392,https://reqres.in/api/users/23,404,Not Found,Exception Paths Group 2-3,text,false,,690,371,5,25,https://reqres.in/api/users/23,1392,0,1069
1681927119908,1392,Get User,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-3,,false,,690,371,5,25,null,1392,3,1069
1681927121268,39,Get User By ID,304,Not Modified,CRUD Operations 3-5,,true,,642,423,10,25,https://reqres.in/api/users/11,0,0,0
1681927121276,35,Get User By ID,200,OK,CRUD Operations 3-7,text,true,,1002,370,10,25,https://reqres.in/api/users/8,35,0,0
1681927121283,28,Get User By ID,200,OK,CRUD Operations 3-4,text,true,,998,371,10,25,https://reqres.in/api/users/12,28,0,0
1681927121131,173,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-4,,true,,5652,2275,10,25,null,147,10,0
1681927121291,32,Get User By ID,304,Not Modified,CRUD Operations 3-2,,true,,640,422,10,25,https://reqres.in/api/users/7,0,0,0
1681927121114,198,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-2,,true,,5648,2275,10,25,null,166,13,0
1681927121300,30,Get User By ID,304,Not Modified,CRUD Operations 3-1,,true,,632,423,10,25,https://reqres.in/api/users/10,0,0,0
1681927121138,187,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-1,,true,,4906,2382,10,25,null,98,5,0
1681927121305,26,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-8,text,true,,949,372,10,25,https://reqres.in/api/unknown/2,26,0,0
1681927121301,26,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-8,,true,,949,372,10,25,null,26,4,0
1681927120318,1023,https://reqres.in/api/users/23,404,Not Found,Exception Paths Group 2-4,text,false,,692,371,5,26,https://reqres.in/api/users/23,1023,0,658
1681927120317,1023,Get User,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-4,,false,,692,371,5,26,null,1023,1,658
1681927121308,35,Get User By ID,304,Not Modified,CRUD Operations 3-5,,true,,634,422,10,26,https://reqres.in/api/users/9,0,0,0
1681927121127,195,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-5,,true,,5284,2326,10,26,null,121,21,0
1681927119512,1827,https://reqres.in/api/users/23,404,Not Found,Exception Paths Group 2-2,text,false,,694,371,5,26,https://reqres.in/api/users/23,1826,0,1492
1681927119509,1827,Get User,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-2,,false,,694,371,5,26,null,1826,9,1492
1681927121312,36,Get User By ID,304,Not Modified,CRUD Operations 3-7,,true,,640,422,10,26,https://reqres.in/api/users/9,0,0,0
1681927121135,198,Get User By ID,200,"Number of samples in transaction : 6, number of failing samples : 0",CRUD Operations 3-7,,true,,5282,2325,10,26,null,135,16,0
1681927121314,39,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-4,text,true,,1421,370,10,26,https://reqres.in/api/unknown,38,0,0
1681927121314,39,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-4,,true,,1421,370,10,26,null,38,1,0
1681927121331,27,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-1,text,true,,1429,370,10,26,https://reqres.in/api/unknown,27,0,0
1681927121331,27,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-1,,true,,1429,370,10,26,null,27,1,0
1681927121329,38,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-2,text,true,,1419,370,10,26,https://reqres.in/api/unknown,38,0,0
1681927121327,38,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-2,,true,,1419,370,10,26,null,38,3,0
1681927121344,35,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-5,text,true,,1421,370,10,26,https://reqres.in/api/unknown,35,0,0
1681927121344,35,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-5,,true,,1421,370,10,26,null,35,2,0
1681927121355,27,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-4,text,true,,955,372,10,26,https://reqres.in/api/unknown/2,27,0,0
1681927121355,27,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-4,,true,,955,372,10,26,null,27,1,0
1681927121351,32,https://reqres.in/api/unknown,200,OK,CRUD Operations 3-7,text,true,,1427,370,10,26,https://reqres.in/api/unknown,32,0,0
1681927121349,32,List <Resources>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-7,,true,,1427,370,10,26,null,32,4,0
1681927121367,26,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-1,text,true,,951,372,10,26,https://reqres.in/api/unknown/2,26,0,0
1681927121366,26,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-1,,true,,951,372,10,26,null,26,2,0
1681927121370,26,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-2,text,true,,947,372,10,26,https://reqres.in/api/unknown/2,26,0,0
1681927121368,26,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-2,,true,,947,372,10,26,null,26,2,0
1681927119530,1871,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-3,text,true,,1751,375,10,26,https://reqres.in/api/users?page=2,1870,0,1571
1681927119526,1871,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-3,,true,,1751,375,10,26,null,1870,5,1571
1681927121285,121,https://reqres.in/api/users/23,404,Not Found,Exception Paths Group 2-5,text,false,,696,371,5,26,https://reqres.in/api/users/23,121,0,87
1681927121277,121,Get User,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-5,,false,,696,371,5,26,null,121,9,87
1681927121386,24,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-7,text,true,,947,372,10,26,https://reqres.in/api/unknown/2,24,0,0
1681927121385,24,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-7,,true,,947,372,10,26,null,24,1,0
1681927121382,35,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-5,text,true,,943,372,10,26,https://reqres.in/api/unknown/2,35,0,0
1681927121381,35,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-5,,true,,943,372,10,26,null,35,2,0
1681927121020,411,https://reqres.in/api/users?page=2,200,OK,CRUD Operations 3-10,text,true,,1743,375,10,26,https://reqres.in/api/users?page=2,411,0,113
1681927121019,411,List Users,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-10,,true,,1743,375,10,26,null,411,2,113
1681927121404,32,Get User By ID,200,OK,CRUD Operations 3-3,text,true,,1002,371,10,26,https://reqres.in/api/users/12,32,0,0
1681927121432,27,Get User By ID,200,OK,CRUD Operations 3-10,text,true,,1002,371,10,26,https://reqres.in/api/users/12,27,0,0
1681927121438,25,Get User By ID,304,Not Modified,CRUD Operations 3-3,,true,,632,423,10,26,https://reqres.in/api/users/12,0,0,0
1681927121461,30,Get User By ID,200,OK,CRUD Operations 3-10,text,true,,1002,370,10,26,https://reqres.in/api/users/8,30,0,0
